id;target number;weight level;time;;total time
3;38;light;1,600003;;
3;39;light;1,300002;;
3;40;light;0,9888902;;
3;41;light;0,9222233;;
3;42;light;1,422225;;
3;43;light;1,17778;;
3;44;light;1,200002;;
3;45;light;1,600003;;
3;46;light;1,200002;;
3;47;light;1,222224;;
3;48;light;1,677781;;
3;49;light;1,311113;;
3;50;light;1,744448;;
3;51;light;1,588892;;
;;;;;77,58681
