time;distance;;f';;f''
0,6037064;0,1330516;0,60932895;0,386408302;0,61496775;-2,655542598
0,6149515;0,1373968;0,62060655;0,356460155;0,62612275;2,78615715
0,6262616;0,1414284;0,63163895;0,387198155;0,6371675;-5,01243446
0,6370163;0,1455926;0,64269605;0,331775166;0,6482863;3,915175765
0,6483758;0,1493614;0,65387655;0,375548789;0,659365675;-2,018321974
0,6593773;0,153493;0,6648548;0,353391146;0,67044535;-0,983209321
0,6703323;0,1573644;0,6760359;0,342397784;0,681645175;-2,174837861
0,6817395;0,1612702;0,68725445;0,317999257;0,69277745;-0,293305526
0,6927694;0,1647777;0,69830045;0,314759404;0,703882375;-2,915328923
0,7038315;0,1682596;0,7094643;0,282213109;0,715114525;0,413210221
0,7150971;0,1714389;0,72076475;0,28688257;0,72638365;-4,147676984
0,7264324;0,1746908;0,73200255;0,240271806;0,73755085;-0,807994775
0,7375727;0,1773675;0,74309915;0,231305811;0,748711575;-1,774022772
0,7486256;0,1799241;0,754324;0,211392672;0,759907875;0,397337245
0,7600224;0,1823333;0,76549175;0,215830035;0,77108905;-0,822739212
0,7709611;0,1846942;0,77668635;0,206619798;0,782270975;-1,455268547
0,7824116;0,1870601;0,7878556;0,19036554;0,793391125;-1,083455557
0,7932996;0,1891328;0,79892665;0,178370549;0,8045019;2,538255323
0,8045537;0,1911402;0,81007715;0,206673365;0,815639;-0,549357722
0,8156006;0,1934233;0,82120085;0,200562475;0,826752325;-1,175770786
0,8268011;0,1956697;0,8323038;0,187507951;0,8378111;0,412195036
0,8378065;0,1977333;0,8433184;0,192048114;0,8488438;-3,736938477
0,8488303;0,1998504;0,8543692;0,150751954;0,8599007;-2,152056297
0,8599081;0,2015204;0,8654322;0,126943756;0,87096425;-1,770425057
0,8709563;0,2029229;0,8764963;0,107355596;0,88206995;2,564942783
0,8820363;0,2041124;0,8876436;0,135947782;0,89321315;-1,350810191
0,8932509;0,205637;0,8987827;0,120900973;0,904228025;1,140477595
0,9043145;0,2069746;0,90967335;0,133321515;0,915142175;1,132040447
0,9150322;0,2084035;0,920611;0,145703377;0,926120825;-0,931516019
0,9261898;0,2100292;0,93163065;0,135438397;0,93715145;-0,684116276
0,9370715;0,211503;0,94267225;0,127884658;0,94818495;-1,218538841
0,948273;0,2129355;0,95369765;0,11444978;0,95921725;-3,495216564
0,9591223;0,2141772;0,96473685;0,075865385;0,97028845;-0,382309557
0,9703514;0,2150291;0,97584005;0,071620526;0,98135095;-0,650765532
0,9813287;0,2158153;0,98686185;0,064447918;0,992289175;0,087260014
0,992395;0,2165285;0,9977165;0,065395095;1,00311175;-0,1490475
1,003038;0,2172245;1,008507;0,063786798;1,013969;-1,57251761
1,013976;0,2179222;1,019431;0,046608616;1,02493;0,300982049
1,024886;0,2184307;1,030429;0,049918817;1,03598925;4,460776063
1,035972;0,2189841;1,0415495;0,099524877;1,047198;-2,166469869
1,047127;0,2200943;1,0528465;0,075050267;1,058446;-0,258909095
1,058566;0,2209528;1,0640455;0,072150744;1,06956;-1,012174026
1,069525;0,2217435;1,0750745;0,060987476;1,08061125;-3,592361763
1,080624;0,2224204;1,086148;0,021207458;1,091701;0,057585979
1,091672;0,2226547;1,097254;0,021847008;1,10286525;-0,265843824
1,102836;0,2228986;1,1084765;0,018863576;1,11408975;2,272767847
1,114117;0,2231114;1,119703;0,044378804;1,12522375;-0,856759947
1,125289;0,2236072;1,1307445;0,034918889;1,1362195;-0,577777224
1,1362;0,2239882;1,1416945;0,028592229;1,14723775;-0,228850395
1,147189;0,2243024;1,152781;0,026055079;1,1583375;0,418058246
1,158373;0,2245938;1,163894;0,03070096;1,16937225;0,80808824
1,169415;0,2249328;1,1748505;0,039554779;1,18040475;3,074584083
1,180286;0,2253628;1,185959;0,073708796;1,19157225;-1,936629241
1,191632;0,2261991;1,1971855;0,051967228;1,20271675;-1,385508186
1,202739;0,2267763;1,208248;0,036640044;1,2138365;1,47470261
1,213757;0,22718;1,219425;0,053122795;1,224989;-2,353572987
1,225093;0,2277822;1,230553;0,026932234;1,23608325;-1,7957088
1,236013;0,2280763;1,2416135;0,007070797;1,24720925;0,182465505
1,247214;0,2281555;1,252805;0,00911286;1,25837625;4,032002589
1,258396;0,2282574;1,2639475;0,054039449;1,2695505;-2,242051166
1,269499;0,2288574;1,2751535;0,028915023;1,280741;3,089150739
1,280808;0,2291844;1,2863285;0,063436283;1,291863;-1,846840823
1,291849;0,2298848;1,2973975;0,042993602;1,3029225;0,542356392
1,302946;0,2303619;1,3084475;0,04898664;1,31395625;1,507090353
1,313949;0,2309009;1,319465;0,065591008;1,32497475;-4,24811009
1,324981;0,2316245;1,3304845;0,018778959;1,33602;-0,422660389
1,335988;0,2318312;1,3415555;0,014099686;1,347123;0,392779234
1,347123;0,2319882;1,3526905;0,018473282;1,3582685;0,029866901
1,358258;0,2321939;1,3638465;0,018806478;1,36939075;2,276139871
1,369435;0,2324041;1,374935;0,044045455;1,3805325;-2,369031761
1,380435;0,2328886;1,38613;0,017524144;1,39167275;-0,95494223
1,391825;0,2330882;1,3972155;0,006938132;1,402743;1,330206938
1,402606;0,233163;1,4082705;0,02164357;1,4138835;2,387813095
1,413935;0,2334082;1,4194965;0,048449159;1,4249465;-2,411869421
1,425058;0,2339471;1,4303965;0,022159783;1,43583075;2,696320107
1,435735;0,2341837;1,441265;0,051464738;1,44684425;-1,479473982
1,446795;0,2347529;1,4524235;0,034956027;1,458027;0,175913457
