time;distance traveled;distance to prev position;controller position;camera position;distance to prev target;distance to current target;;;;;;;;;;;
(-3.5460, 3.2766, 2.2280);(-2.3057, 2.2193, 3.3873);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
0,8346671;0,199701721;0,000830131;(-0.5307, 1.3293, -0.6025);(-0.2989, 1.4983, -1.1302);4,5712;4,4566;;;-0,5307459;1,329301;-0,475402;;0,002220087;;0,002220087;;0,003011271
0,8529959;0,20054075;0,000839029;(-0.5300, 1.3290, -0.6022);(-0.2988, 1.4982, -1.1301);4,5716;4,4567;;;-0,5300231;1,328995;-0,4771506;;0,001916684;;0,001916684;;0,004136771
0,8566506;0,201190894;0,000650145;(-0.5296, 1.3288, -0.6018);(-0.2986, 1.4982, -1.1300);4,5717;4,4565;;;-0,5295718;1,328817;-0,4794356;;0,002335933;;0,002335933;;0,004252617
0,8675836;0,201752174;0,000561279;(-0.5292, 1.3285, -0.6015);(-0.2984, 1.4982, -1.1298);4,5719;4,4565;;;-0,5291848;1,328533;-0,4816146;;0,002231248;;0,002231248;;0,00456718
0,8787334;0,202287965;0,000535792;(-0.5288, 1.3282, -0.6013);(-0.2983, 1.4982, -1.1298);4,5721;4,4565;;;-0,5287896;1,328246;-0,486867;;0,00527506;;0,00527506;;0,007506308
0,8895524;0,202779014;0,000491048;(-0.5286, 1.3279, -0.6010);(-0.2981, 1.4982, -1.1296);4,5722;4,4564;;;-0,5286015;1,327886;-0,4892631;;0,002430283;;0,002430283;;0,007705343
0,9007297;0,203241786;0,000462773;(-0.5283, 1.3275, -0.6009);(-0.2979, 1.4981, -1.1295);4,5725;4,4565;;;-0,5283366;1,32752;-0,4913564;;0,002141502;;0,002141502;;0,004571786
0,9130984;0,204022529;0,000780743;(-0.5281, 1.3268, -0.6006);(-0.2978, 1.4981, -1.1294);4,5728;4,4565;;;-0,5280568;1,326838;-0,493066;;0,001861758;;0,001861758;;0,004003261
0,9232236;0,204763855;0,000741326;(-0.5277, 1.3262, -0.6004);(-0.2977, 1.4981, -1.1293);4,5732;4,4565;;;-0,5277443;1,326212;-0,4949495;;0,002009255;;0,002009255;;0,003871013
0,9340937;0,205538341;0,000774485;(-0.5274, 1.3255, -0.6002);(-0.2975, 1.4980, -1.1291);4,5735;4,4565;;;-0,5274391;1,325544;-0,496797;;0,001988122;;0,001988122;;0,003997376
0,9453483;0,206324572;0,000786232;(-0.5272, 1.3249, -0.5998);(-0.2973, 1.4980, -1.1290);4,5737;4,4565;;;-0,5271962;1,324886;-0,4986856;;0,00201464;;0,00201464;;0,004002762
0,9564558;0,207103613;0,000779041;(-0.5271, 1.3242, -0.5996);(-0.2971, 1.4979, -1.1289);4,5739;4,4564;;;-0,5271133;1,324151;-0,5009977;;0,00242753;;0,00242753;;0,00444217
0,9677528;0,207775077;0,000671463;(-0.5268, 1.3236, -0.5994);(-0.2970, 1.4979, -1.1288);4,5743;4,4565;;;-0,5268006;1,323579;-0,5031436;;0,002242733;;0,002242733;;0,004670264
0,9788548;0,20845638;0,000681303;(-0.5266, 1.3229, -0.5992);(-0.2969, 1.4979, -1.1287);4,5746;4,4566;;;-0,5266198;1,322946;-0,5054218;;0,002371407;;0,002371407;;0,004614141
0,9898524;0,209098034;0,000641654;(-0.5265, 1.3223, -0.5990);(-0.2967, 1.4979, -1.1286);4,5748;4,4566;;;-0,5265064;1,322346;-0,5075513;;0,002215317;;0,002215317;;0,004586724
1,009126;0,20969874;0,000600706;(-0.5265, 1.3218, -0.5989);(-0.2965, 1.4979, -1.1285);4,575;4,4566;;;-0,5264742;1,321754;-0,5096034;;0,002136028;;0,002136028;;0,004351345
1,012433;0,21023432;0,00053558;(-0.5265, 1.3212, -0.5988);(-0.2964, 1.4979, -1.1283);4,5751;4,4566;;;-0,5264704;1,321239;-0,5117827;;0,002239328;;0,002239328;;0,004375355
1,023175;0,210843603;0,000609283;(-0.5265, 1.3206, -0.5987);(-0.2962, 1.4979, -1.1281);4,5753;4,4566;;;-0,5264992;1,320637;-0,5144473;;0,002731909;;0,002731909;;0,004971237
1,034565;0,211477994;0,000634392;(-0.5265, 1.3200, -0.5986);(-0.2959, 1.4979, -1.1280);4,5755;4,4566;;;-0,5265122;1,320017;-0,5166505;;0,002288812;;0,002288812;;0,005020721
1,045653;0,212158559;0,000680565;(-0.5265, 1.3193, -0.5985);(-0.2957, 1.4980, -1.1278);4,5757;4,4567;;;-0,5265229;1,319341;-0,5192576;;0,002693336;;0,002693336;;0,004982148
1,056594;0,212878204;0,000719645;(-0.5265, 1.3186, -0.5983);(-0.2955, 1.4979, -1.1276);4,5759;4,4567;;;-0,5265305;1,318637;-0,5218405;;0,002677134;;0,002677134;;0,00537047
1,068238;0,213577886;0,000699682;(-0.5265, 1.3180, -0.5981);(-0.2954, 1.4979, -1.1274);4,5761;4,4566;;;-0,5264637;1,317973;-0,524887;;0,003118737;;0,003118737;;0,005795871
1,079114;0,214228603;0,000650717;(-0.5264, 1.3173, -0.5979);(-0.2952, 1.4979, -1.1273);4,5763;4,4566;;;-0,5264183;1,317347;-0,5274572;;0,002645726;;0,002645726;;0,005764463
1,090352;0,21486273;0,000634127;(-0.5265, 1.3167, -0.5978);(-0.2952, 1.4979, -1.1271);4,5764;4,4566;;;-0,5264802;1,316742;-0,5327132;;0,005291067;;0,005291067;;0,007936793
1,101205;0,214410822;0,000451908;(-0.5265, 1.3164, -0.5975);(-0.2950, 1.4978, -1.1269);4,5764;4,4564;;;-0,5264729;1,316397;-0,5351805;;0,002491314;;0,002491314;;0,007782382
1,113335;0,213954137;0,000456685;(-0.5267, 1.3160, -0.5974);(-0.2948, 1.4978, -1.1268);4,5763;4,4563;;;-0,5266979;1,316011;-0,5351805;;0,00044679;;0,00044679;;-0,002044525
1,123265;0,214359784;0,000405647;(-0.5269, 1.3157, -0.5974);(-0.2947, 1.4977, -1.1266);4,5764;4,4563;;;-0,5268875;1,315652;-0,5371524;;0,002013261;;0,002013261;;0,00246005
1,134284;0,214146327;0,000213457;(-0.5270, 1.3155, -0.5973);(-0.2946, 1.4977, -1.1266);4,5763;4,4562;;;-0,5270329;1,315511;-0,5390686;;0,001926874;;0,001926874;;-8,63864E-05
1,145742;0,213819232;0,000327095;(-0.5273, 1.3154, -0.5973);(-0.2944, 1.4976, -1.1264);4,5761;4,4561;;;-0,5273185;1,315356;-0,5409722;;0,001931136;;0,001931136;;4,26145E-06
1,163902;0,213383367;0,000435866;(-0.5278, 1.3154, -0.5972);(-0.2943, 1.4976, -1.1262);4,5758;4,4558;;;-0,5277514;1,315365;-0,5442464;;0,003302706;;0,003302706;;0,001371571
1,167294;0,213067213;0,000316154;(-0.5280, 1.3152, -0.5971);(-0.2942, 1.4975, -1.1259);4,5757;4,4557;;;-0,5280213;1,315211;-0,546391;;0,002166996;;0,002166996;;-0,00113571
1,178417;0,212773378;0,000293835;(-0.5283, 1.3152, -0.5971);(-0.2941, 1.4975, -1.1258);4,5754;4,4555;;;-0,5283045;1,315211;-0,5483469;;0,001976296;;0,001976296;;-0,0001907
1,18956;0,212512692;0,000260687;(-0.5285, 1.3151, -0.5972);(-0.2942, 1.4975, -1.1256);4,5754;4,4555;;;-0,5285257;1,315099;-0,5497254;;0,00140062;;0,00140062;;0,003376916
1,200652;0,212331128;0,000181563;(-0.5286, 1.3150, -0.5970);(-0.2942, 1.4975, -1.1255);4,5753;4,4554;;;-0,5285887;1,314984;-0,5507573;;0,001040198;;0,001040198;;-0,000360422
1,21154;0,212077443;0,000253686;(-0.5285, 1.3150, -0.5968);(-0.2942, 1.4975, -1.1253);4,5753;4,4553;;;-0,5284505;1,31504;-0,5515926;;0,000848505;;0,000848505;;0,001888703
1,222701;0,21196416;0,000113283;(-0.5284, 1.3151, -0.5967);(-0.2942, 1.4975, -1.1252);4,5752;4,4552;;;-0,5284241;1,315122;-0,5525575;;0,000968738;;0,000968738;;0,000120232
1,23399;0,211627642;0,000336517;(-0.5288, 1.3152, -0.5967);(-0.2941, 1.4975, -1.1251);4,5749;4,4551;;;-0,5287534;1,31519;-0,5525575;;0,000336248;;0,000336248;;-0,00063249
1,245135;0,211325456;0,000302186;(-0.5288, 1.3155, -0.5967);(-0.2941, 1.4974, -1.1250);4,5748;4,455;;;-0,5287683;1,315491;-0,5539698;;0,001444096;;0,001444096;;0,001107849
1,25617;0,210985558;0,000339898;(-0.5290, 1.3158, -0.5966);(-0.2939, 1.4974, -1.1248);4,5745;4,4548;;;-0,5289526;1,315767;-0,5557044;;0,001766063;;0,001766063;;0,000321967
