time;distance traveled;distance to prev position;controller position;camera position;distance to prev target;distance to current target;;;;;;;
(-2.3057, 2.2193, 3.3873);(-2.6818, 0.2784, 3.0852);;;;;;;;;;;;
;;;;;;;;;;;;;
0,6802607;0,203477242;0,001608572;(-0.5545, 1.1199, -0.6162);(-0.2976, 1.4896, -1.1152);4,5059;4,3513;;;-0,5544605;1,119925;-0,432538;;0,004357842
0,6888995;0,205330026;0,001852784;(-0.5549, 1.1182, -0.6167);(-0.2978, 1.4895, -1.1150);4,5067;4,3512;;;-0,5548687;1,118201;-0,4369321;;0,004737818
0,6998542;0,206868393;0,001538367;(-0.5554, 1.1168, -0.6172);(-0.2981, 1.4893, -1.1149);4,5072;4,3511;;;-0,5553837;1,116834;-0,4412474;;0,004555845
0,7112155;0,20859424;0,001725847;(-0.5558, 1.1152, -0.6177);(-0.2983, 1.4892, -1.1147);4,5079;4,351;;;-0,5558103;1,115226;-0,4452179;;0,004304942
0,7220866;0,210182954;0,001588714;(-0.5560, 1.1137, -0.6180);(-0.2985, 1.4891, -1.1146);4,5085;4,3509;;;-0,5559916;1,113689;-0,4452179;;0,001547656
0,7332148;0,211679666;0,001496712;(-0.5562, 1.1123, -0.6185);(-0.2987, 1.4891, -1.1146);4,5091;4,3509;;;-0,5562259;1,112279;-0,4529502;;0,007863298
0,7450445;0,213254288;0,001574622;(-0.5563, 1.1107, -0.6188);(-0.2989, 1.4890, -1.1144);4,5098;4,3508;;;-0,5563119;1,110735;-0,4529502;;0,001546393
0,7554507;0,214750215;0,001495927;(-0.5565, 1.1093, -0.6191);(-0.2990, 1.4890, -1.1143);4,5103;4,3507;;;-0,5565467;1,109302;-0,4566141;;0,003941165
0,7666855;0,216096829;0,001346614;(-0.5561, 1.1080, -0.6192);(-0.2992, 1.4890, -1.1141);4,5108;4,3507;;;-0,5561423;1,108018;-0,4601029;;0,003739508
0,777823;0,217514762;0,001417933;(-0.5563, 1.1066, -0.6195);(-0.2993, 1.4889, -1.1139);4,5114;4,3506;;;-0,556259;1,106635;-0,4638438;;0,003990068
0,7890466;0,218730257;0,001215495;(-0.5565, 1.1055, -0.6198);(-0.2994, 1.4888, -1.1138);4,5119;4,3506;;;-0,5564567;1,105488;-0,4663358;;0,002750411
0,8000127;0,220066166;0,001335909;(-0.5566, 1.1042, -0.6201);(-0.2996, 1.4888, -1.1136);4,5125;4,3506;;;-0,5565857;1,104201;-0,4712096;;0,005042513
0,8112331;0,221295396;0,00122923;(-0.5566, 1.1030, -0.6205);(-0.2996, 1.4887, -1.1134);4,513;4,3506;;;-0,556644;1,103019;-0,4733205;;0,002420004
0,8312078;0,22237333;0,001077934;(-0.5568, 1.1020, -0.6207);(-0.2997, 1.4886, -1.1133);4,5135;4,3506;;;-0,5567676;1,101973;-0,4733205;;0,001053277
0,8345803;0,223396567;0,001023237;(-0.5569, 1.1010, -0.6210);(-0.2998, 1.4886, -1.1131);4,5139;4,3505;;;-0,5569179;1,100997;-0,475402;;0,002303868
0,8447116;0,224435113;0,001038546;(-0.5571, 1.1000, -0.6212);(-0.2999, 1.4886, -1.1130);4,5142;4,3504;;;-0,5571184;1,099996;-0,4771506;;0,002024797
0,8555976;0,225333071;0,000897959;(-0.5573, 1.0992, -0.6214);(-0.2999, 1.4887, -1.1126);4,5145;4,3503;;;-0,5573443;1,099155;-0,4794356;;0,002445309
0,8667417;0,226029194;0,000696122;(-0.5574, 1.0985, -0.6213);(-0.3000, 1.4887, -1.1124);4,5147;4,3501;;;-0,5573809;1,098461;-0,4816146;;0,002287142
0,8779064;0,226912742;0,000883548;(-0.5575, 1.0976, -0.6215);(-0.3000, 1.4886, -1.1122);4,5149;4,35;;;-0,5575486;1,0976;-0,486867;;0,005325143
0,8909664;0,227750707;0,000837965;(-0.5577, 1.0968, -0.6216);(-0.3001, 1.4886, -1.1120);4,5152;4,3499;;;-0,5576785;1,096785;-0,4892631;;0,002534244
0,899952;0,228586809;0,000836102;(-0.5576, 1.0960, -0.6216);(-0.3001, 1.4886, -1.1118);4,5155;4,3498;;;-0,5576215;1,095952;-0,4913564;;0,002253673
0,9109931;0,229407321;0,000820512;(-0.5576, 1.0951, -0.6217);(-0.3002, 1.4886, -1.1116);4,5157;4,3497;;;-0,5575848;1,095135;-0,493066;;0,001895143
0,9222358;0,230193931;0,00078661;(-0.5572, 1.0945, -0.6217);(-0.3003, 1.4886, -1.1114);4,516;4,3498;;;-0,5571843;1,09446;-0,4949495;;0,00204049
0,933263;0,230803263;0,000609331;(-0.5571, 1.0939, -0.6217);(-0.3003, 1.4885, -1.1112);4,5162;4,3497;;;-0,5570922;1,093858;-0,496797;;0,001945287
0,9445023;0,231440779;0,000637517;(-0.5571, 1.0932, -0.6217);(-0.3004, 1.4885, -1.1110);4,5164;4,3496;;;-0,5570825;1,093221;-0,4986856;;0,001993157
0,9554678;0,231815808;0,000375028;(-0.5571, 1.0929, -0.6217);(-0.3004, 1.4885, -1.1108);4,5165;4,3495;;;-0,5571349;1,09285;-0,5009977;;0,002342262
0,9668822;0,231353109;0,000462699;(-0.5572, 1.0924, -0.6215);(-0.3005, 1.4885, -1.1106);4,5164;4,3492;;;-0,5571667;1,092437;-0,5031436;;0,002185513
0,9668822;0,231353109;0;(-0.5572, 1.0924, -0.6215);(-0.3005, 1.4885, -1.1106);4,5164;4,3492;;;-0,5571667;1,092437;-0,5054218;;0,0022782
0,9668822;0,231353109;0;(-0.5572, 1.0924, -0.6215);(-0.3005, 1.4885, -1.1106);4,5164;4,3492;;;-0,5571667;1,092437;-0,5075513;;0,0021295
1,002999;0,230337943;0,001015166;(-0.5569, 1.0916, -0.6210);(-0.3006, 1.4884, -1.1100);4,5163;4,3488;;;-0,556935;1,091559;-0,5096034;;0,002244033
1,012615;0,230691229;0,000353287;(-0.5568, 1.0913, -0.6209);(-0.3008, 1.4884, -1.1098);4,5163;4,3487;;;-0,5567942;1,091263;-0,5117827;;0,002203812
1,022753;0,231003157;0,000311927;(-0.5568, 1.0910, -0.6209);(-0.3009, 1.4884, -1.1096);4,5164;4,3487;;;-0,5568098;1,090953;-0,5144473;;0,002682617
