time;acceleration
1,999975;-2,056062E-08
2,010944;1,061708E-08
2,022061;1,659244E-08
2,033269;-3,360212E-09
2,044151;1,273155E-08
2,055182;3,152043E-08
2,066159;-1,363903E-08
2,077295;2,17244E-08
2,088279;-4,602969E-08
2,099244;6,007701E-08
2,11055;-8,289515E-09
2,121699;-4,495084E-08
2,132957;2,753139E-08
2,143903;-4,226267E-08
2,155192;7,58022E-09
2,166311;-2,166629E-08
2,177922;2,290308E-09
2,188785;2,527982E-08
2,199819;-3,553927E-09
2,211187;3,581941E-08
2,222259;1,074076E-08
2,233224;-4,192442E-08
2,244213;4,015863E-08
2,255284;-3,45543E-08
2,266147;2,059787E-08
2,277326;-3,768206E-08
2,288274;3,004521E-08
2,299575;-1,841635E-08
2,310707;3,161579E-08
2,321485;8,235872E-09
2,332655;-1,149625E-08
2,343634;1,31309E-08
2,354683;-4,386902E-08
2,365822;2,491325E-08
2,377145;-4,550814E-09
2,388278;-1,765192E-08
2,399457;-1,161545E-08
2,410577;3,352761E-08
2,42185;5,055964E-09
2,433328;-2,925247E-08
2,444215;3,36051E-08
2,455202;-4,949868E-08
2,466185;1,60873E-08
2,477325;-7,58916E-09
2,488326;9,994207E-09
2,499341;-9,271503E-09
2,510447;6,903708E-09
2,521608;-5,561112E-09
2,53276;-1,806022E-09
2,543901;-1,300871E-09
2,554952;-3,632904E-09
2,566393;6,462635E-09
2,57737;-7,656514E-08
2,588565;7,441341E-08
