time;distance traveled;distance to prev position;controller position;camera position;distance to prev target;distance to current target;;;;
(1.61, 0.91, 4.55);(3.07, 1.98, 3.70);;;;;;;;;
;;;;;;;;;;
0,7777285;0,215450504;0,000469204;(0.1718870000, 1.2622780000, 0.3398927000);(-0.0934907800, 1.4576920000, -0.1099846000);4,461353;4,494839;;;0,171887;1,262278
0,788748;0,215029944;0,00042056;(0.1716910000, 1.2620920000, 0.3402150000);(-0.0934907800, 1.4576920000, -0.1099846000);4,461098;4,494755;;;0,171691;1,262092
0,7997219;0,214533029;0,000496915;(0.1713775000, 1.2619250000, 0.3405626000);(-0.0929727000, 1.4577860000, -0.1102401000);4,460858;4,494724;;;0,1713775;1,261925
0,8107128;0,214155859;0,00037717;(0.1714402000, 1.2616310000, 0.3407912000);(-0.0929727000, 1.4577860000, -0.1102401000);4,460599;4,49456;;;0,1714402;1,261631
0,8218104;0,213903746;0,000252113;(0.1714396000, 1.2614670000, 0.3409819000);(-0.0925272400, 1.4579850000, -0.1104842000);4,460407;4,494444;;;0,1714396;1,261467
0,8330306;0,213664831;0,000238915;(0.1715317000, 1.2612710000, 0.3410840000);(-0.0925272400, 1.4579850000, -0.1104842000);4,460266;4,49434;;;0,1715317;1,261271
0,8439274;0,213529398;0,000135434;(0.1715814000, 1.2611450000, 0.3410918000);(-0.0920767800, 1.4582770000, -0.1106899000);4,460233;4,494322;;;0,1715814;1,261145
0,8551512;0,212961636;0,000567762;(0.1710595000, 1.2610140000, 0.3412729000);(-0.0920767800, 1.4582770000, -0.1106899000);4,46022;4,494545;;;0,1710595;1,261014
0,8551512;0,212961636;0;(0.1710595000, 1.2610140000, 0.3412729000);(-0.0915712700, 1.4585370000, -0.1110786000);4,46022;4,494545;;;0,1710595;1,261014
0,8775892;0,212552695;0,000408942;(0.1706986000, 1.2611250000, 0.3414302000);(-0.0915712700, 1.4585370000, -0.1110786000);4,460196;4,494643;;;0,1706986;1,261125
0,8884202;0,212813266;0,000260572;(0.1705584000, 1.2613420000, 0.3414629000);(-0.0910860600, 1.4586920000, -0.1113716000);4,460227;4,494674;;;0,1705584;1,261342
0,8994837;0,212668339;0,000144927;(0.1704928000, 1.2614080000, 0.3415738000);(-0.0910860600, 1.4586920000, -0.1113716000);4,46015;4,494623;;;0,1704928;1,261408
0,9106675;0,212941726;0,000273387;(0.1704527000, 1.2616740000, 0.3415223000);(-0.0906016200, 1.4589510000, -0.1118017000);4,460232;4,494645;;;0,1704527;1,261674
0,9219767;0,213191399;0,000249673;(0.1703513000, 1.2618730000, 0.3414111000);(-0.0906016200, 1.4589510000, -0.1118017000);4,460385;4,494761;;;0,1703513;1,261873
0,9331127;0,21349313;0,000301731;(0.1703216000, 1.2620620000, 0.3411780000);(-0.0901149800, 1.4591330000, -0.1121629000);4,460629;4,494924;;;0,1703216;1,262062
0,9441835;0,213822639;0,000329508;(0.1705080000, 1.2623070000, 0.3410606000);(-0.0901149800, 1.4591330000, -0.1121629000);4,460699;4,494853;;;0,170508;1,262307
0,9555725;0,214293656;0,000471017;(0.1705521000, 1.2626080000, 0.3407010000);(-0.0896733400, 1.4593710000, -0.1125304000);4,461047;4,495044;;;0,1705521;1,262608
0,9555725;0,214293656;0;(0.1705521000, 1.2626080000, 0.3407010000);(-0.0896733400, 1.4593710000, -0.1125304000);4,461047;4,495044;;;0,1705521;1,262608
