time;distance traveled;distance to prev position;controller position;camera position;distance to prev target;distance to current target;;;;
(-0.18, 0.04, 4.65);(1.61, 0.91, 4.55);;;;;;;;;
;;;;;;;;;;
0,5425301;0,192628606;0,003424622;(-0.0251023800, 1.1618390000);(-0.1211353000, 1.4530560000, -0.1088876000);1,136745;1,653941;;;-0,02510238;1,161839
0,5538065;0,196274419;0,003645813;(-0.0219029800, 1.1635870000);(-0.1211353000, 1.4530560000, -0.1088876000);1,138926;1,65104;;;-0,02190298;1,163587
0,5651115;0,19904913;0,002774711;(-0.0193842100, 1.1647510000);(-0.1209533000, 1.4531430000, -0.1086134000);1,140438;1,648726;;;-0,01938421;1,164751
0,5763736;0,201620443;0,002571313;(-0.0170503900, 1.1658300000);(-0.1209533000, 1.4531430000, -0.1086134000);1,141843;1,646584;;;-0,01705039;1,16583
0,587788;0,204368761;0,002748318;(-0.0145800700, 1.1670350000);(-0.1207433000, 1.4531300000, -0.1083550000);1,143397;1,644326;;;-0,01458007;1,167035
0,5990142;0,206783889;0,002415128;(-0.0123930600, 1.1680600000);(-0.1207433000, 1.4531300000, -0.1083550000);1,144735;1,642323;;;-0,01239306;1,16806
0,610203;0,208661973;0,001878084;(-0.0106267900, 1.1686980000);(-0.1203219000, 1.4532130000, -0.1081822000);1,145632;1,640676;;;-0,01062679;1,168698
0,62125;0,21030151;0,001639537;(-0.0090409520, 1.1691140000);(-0.1203219000, 1.4532130000, -0.1081822000);1,146283;1,639174;;;-0,009040952;1,169114
0,6323738;0,211317883;0,001016373;(-0.0080304740, 1.1692230000);(-0.1199872000, 1.4531560000, -0.1078929000);1,146545;1,638193;;;-0,008030474;1,169223
0,6432114;0,212772431;0,001454548;(-0.0065987710, 1.1694800000);(-0.1199872000, 1.4531560000, -0.1078929000);1,147019;1,636818;;;-0,006598771;1,16948
0,6545278;0,211827205;0,000945226;(-0.0057088730, 1.1691620000);(-0.1197017000, 1.4531880000, -0.1076117000);1,146842;1,63589;;;-0,005708873;1,169162
0,665397;0,212892414;0,001065209;(-0.0046436790, 1.1691670000);(-0.1197017000, 1.4531880000, -0.1076117000);1,147013;1,634838;;;-0,004643679;1,169167
0,6763526;0,212247755;0,000644658;(-0.0040547250, 1.1689050000);(-0.1196606000, 1.4531970000, -0.1074861000);1,146846;1,634216;;;-0,004054725;1,168905
0,6875978;0,213198289;0,000950534;(-0.0031622050, 1.1692320000);(-0.1196606000, 1.4531970000, -0.1074861000);1,147309;1,633385;;;-0,003162205;1,169232
0,6987528;0,212400951;0,000797338;(-0.0023852590, 1.1690530000);(-0.1193822000, 1.4532980000, -0.1072212000);1,147254;1,63259;;;-0,002385259;1,169053
0,7099131;0,211800943;0,000600008;(-0.0019065140, 1.1686910000);(-0.1193822000, 1.4532980000, -0.1072212000);1,146973;1,632061;;;-0,001906514;1,168691
0,7212114;0,2111871;0,000613843;(-0.0014205570, 1.1683160000);(-0.1191200000, 1.4533510000, -0.1069793000);1,146679;1,631522;;;-0,001420557;1,168316
0,7323917;0,210577164;0,000609936;(-0.0009643435, 1.1679110000);(-0.1191200000, 1.4533510000, -0.1069793000);1,146352;1,631009;;;-0,000964344;1,167911
0,7433454;0,209974141;0,000603023;(-0.0005521178, 1.1674710000);(-0.1189924000, 1.4535530000, -0.1068635000);1,145983;1,630533;;;-0,000552118;1,167471
0,7545608;0,209411408;0,000562734;(-0.0002843738, 1.1669760000);(-0.1189924000, 1.4535530000, -0.1068635000);1,145537;1,630192;;;-0,000284374;1,166976
0,7655503;0,208488983;0,000922424;(0.0003433228, 1.1663000000);(-0.1185207000, 1.4537220000, -0.1066555000);1,144971;1,629468;;;0,000343323;1,1663
0,7765436;0,207835485;0,000653498;(0.0007295609, 1.1657730000);(-0.1185207000, 1.4537220000, -0.1066555000);1,144513;1,629005;;;0,000729561;1,165773
0,7875711;0,206932137;0,000903349;(0.0011181240, 1.1649580000);(-0.1181620000, 1.4538370000, -0.1064664000);1,14377;1,628495;;;0,001118124;1,164958
0,7989637;0,206041171;0,000890966;(0.0015999080, 1.1642080000);(-0.1181620000, 1.4538370000, -0.1064664000);1,143109;1,627904;;;0,001599908;1,164208
0,8101795;0,205050822;0,000990349;(0.0020062920, 1.1633050000);(-0.1179340000, 1.4539250000, -0.1062682000);1,142283;1,627365;;;0,002006292;1,163305
0,8212634;0,204210889;0,000839933;(0.0022518630, 1.1625020000);(-0.1179340000, 1.4539250000, -0.1062682000);1,141531;1,626999;;;0,002251863;1,162502
0,8322909;0,203523025;0,000687864;(0.0026753540, 1.1619600000);(-0.1175713000, 1.4539920000, -0.1061113000);1,141065;1,626499;;;0,002675354;1,16196
0,8434831;0,202901046;0,000621979;(0.0029824970, 1.1614190000);(-0.1175713000, 1.4539920000, -0.1061113000);1,140581;1,626113;;;0,002982497;1,161419
0,8434831;0,202901046;0;(0.0029824970, 1.1614190000);(-0.1171954000, 1.4540430000, -0.1059659000);1,140581;1,626113;;;0,002982497;1,161419
0,8657991;0,201674859;0,001226187;(0.0035599470, 1.1603370000);(-0.1171954000, 1.4540430000, -0.1059659000);1,139609;1,625378;;;0,003559947;1,160337
0,8769692;0,200930002;0,000744857;(0.0038474800, 1.1596500000);(-0.1169677000, 1.4542100000, -0.1059563000);1,138978;1,624991;;;0,00384748;1,15965
0,8769692;0,200930002;0;(0.0038474800, 1.1596500000);(-0.1169677000, 1.4542100000, -0.1059563000);1,138978;1,624991;;;0,00384748;1,15965
0,8883191;0,200068106;0,000861895;(0.0042328830, 1.1588790000);(-0.1165696000, 1.4542810000, -0.1058348000);1,138281;1,624494;;;0,004232883;1,158879
0,8993733;0,199290922;0,000777184;(0.0044873950, 1.1581450000);(-0.1165696000, 1.4542810000, -0.1058348000);1,137599;1,624132;;;0,004487395;1,158145
0,9106915;0,198588592;0,00070233;(0.0047428610, 1.1574910000);(-0.1161621000, 1.4542770000, -0.1057891000);1,136996;1,623781;;;0,004742861;1,157491
0,9216274;0,197902704;0,000685888;(0.0050682430, 1.1568870000);(-0.1161621000, 1.4542770000, -0.1057891000);1,136454;1,623369;;;0,005068243;1,156887
0,9327261;0,197357865;0,00054484;(0.0053373580, 1.1564130000);(-0.1157638000, 1.4543110000, -0.1057393000);1,136032;1,623033;;;0,005337358;1,156413
0,9438207;0,196900715;0,00045715;(0.0056876540, 1.1561190000);(-0.1157638000, 1.4543110000, -0.1057393000);1,135801;1,622643;;;0,005687654;1,156119
0,955038;0,196349499;0,000551216;(0.0060485600, 1.1557030000);(-0.1153614000, 1.4543340000, -0.1056976000);1,13545;1,622224;;;0,00604856;1,155703
