time;distance traveled;distance to prev position;controller position;camera position;distance to prev target;distance to current target;;;;;;;;;
(1.61, 0.91, 4.55);(3.07, 1.98, 3.70);;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
0,1558113;-0,001395622;0,000103494;(0.0099281070, 1.1535780000);(-0.0992250100, 1.4551020000, -0.1082721000);1,618073;3,172307;;;0,009928107;1,153578;;;0,000103475;;-0,001385892
0,1669502;-0,001575471;0,000179849;(0.0100903500, 1.1535010000);(-0.0993502100, 1.4550390000, -0.1086396000);1,617901;3,172171;;;0,01009035;1,153501;;;0,000179588;;-0,00156548
0,178033;-0,001983509;0,000408038;(0.0104965600, 1.1534620000);(-0.0993502100, 1.4550390000, -0.1086396000);1,617493;3,171789;;;0,01049656;1,153462;;;0,000408078;;-0,001973558
0,188994;-0,002733441;0,000749932;(0.0112263000, 1.1536350000);(-0.0992295100, 1.4549100000, -0.1084046000);1,616797;3,171039;;;0,0112263;1,153635;;;0,000749966;;-0,002723524
0,2001663;-0,004159771;0,00142633;(0.0125684700, 1.1541170000);(-0.0992295100, 1.4549100000, -0.1084046000);1,615541;3,169618;;;0,01256847;1,154117;;;0,001426094;;-0,004149618
0,2112357;-0,006117184;0,001957413;(0.0143016000, 1.1550270000);(-0.0990948100, 1.4548690000, -0.1083375000);1,613962;3,167707;;;0,0143016;1,155027;;;0,001957509;;-0,006107126
0,2224883;-0,008887813;0,002770629;(0.0167817500, 1.1562620000);(-0.0990948100, 1.4548690000, -0.1083375000);1,611694;3,164991;;;0,01678175;1,156262;;;0,002770626;;-0,008877753
0,2336202;-0,01161768;0,002729867;(0.0191749300, 1.1575760000);(-0.0988623200, 1.4550540000, -0.1084380000);1,609526;3,162338;;;0,01917493;1,157576;;;0,002730184;;-0,011607937
0,2444924;-0,015122957;0,003505277;(0.0220894800, 1.1595230000);(-0.0988623200, 1.4550540000, -0.1084380000);1,60694;3,159017;;;0,02208948;1,159523;;;0,003505055;;-0,015112992
0,2557824;-0,018813924;0,003690967;(0.0252026300, 1.1615060000);(-0.0987577400, 1.4550480000, -0.1083736000);1,604167;3,155495;;;0,02520263;1,161506;;;0,003691069;;-0,018804061
0,2668696;-0,022777366;0,003963442;(0.0285015700, 1.1637030000);(-0.0987577400, 1.4550480000, -0.1083736000);1,601247;3,151738;;;0,02850157;1,163703;;;0,003963561;;-0,022767622
0,2887993;-0,032543171;0,009765805;(0.0364007400, 1.1694450000);(-0.0988354100, 1.4550810000, -0.1084951000);1,594351;3,142621;;;0,03640074;1,169445;;;0,009765626;;-0,032533248
0,2998938;-0,03802553;0,005482359;(0.0408778200, 1.1726090000);(-0.0988354100, 1.4550810000, -0.1084951000);1,590441;3,137479;;;0,04087782;1,172609;;;0,005482257;;-0,038015505
0,3109933;-0,043560421;0,005534891;(0.0455707900, 1.1755440000);(-0.0987575100, 1.4550700000, -0.1084776000);1,586289;3,132188;;;0,04557079;1,175544;;;0,005535178;;-0,043550683
0,3221072;-0,049810749;0,006250328;(0.0507432200, 1.1790520000);(-0.0987575100, 1.4550700000, -0.1084776000);1,58177;3,126287;;;0,05074322;1,179052;;;0,006249808;;-0,04980049
0,3332884;-0,056292036;0,006481287;(0.0561694500, 1.1825970000);(-0.0985912700, 1.4551660000, -0.1084765000);1,577018;3,120134;;;0,05616945;1,182597;;;0,006481589;;-0,056282079
0,3442401;-0,062973354;0,006681318;(0.0618005400, 1.1861930000);(-0.0985912700, 1.4551660000, -0.1084765000);1,572085;3,11377;;;0,06180054;1,186193;;;0,006681346;;-0,062963426
0,3554574;-0,069661638;0,006688284;(0.0673852600, 1.1898730000);(-0.0984866000, 1.4551760000, -0.1084714000);1,567226;3,107431;;;0,06738526;1,189873;;;0,006688161;;-0,069651587
0,3662875;-0,07594767;0,006286032;(0.0726552600, 1.1933000000);(-0.0984866000, 1.4551760000, -0.1084714000);1,562645;3,101462;;;0,07265526;1,1933;;;0,006286273;;-0,07593786
0,3774535;-0,082368285;0,006420615;(0.0780344000, 1.1968050000);(-0.0983732900, 1.4552150000, -0.1084889000);1,557983;3,095369;;;0,0780344;1,196805;;;0,006420294;;-0,082358154
0,3882778;-0,088851874;0,006483589;(0.0834025700, 1.2004410000);(-0.0983732900, 1.4552150000, -0.1084889000);1,553367;3,089255;;;0,08340257;1,200441;;;0,006483652;;-0,088841806
0,3995362;-0,095122316;0,006270442;(0.0886789000, 1.2038290000);(-0.0982546200, 1.4552650000, -0.1084968000);1,54881;3,083294;;;0,0886789;1,203829;;;0,006270423;;-0,095112229
0,4107165;-0,101142568;0,006020252;(0.0937198400, 1.2071200000);(-0.0982546200, 1.4552650000, -0.1084968000);1,544477;3,077586;;;0,09371984;1,20712;;;0,006020113;;-0,101132341
0,4217191;-0,107804717;0,006662149;(0.0992415000, 1.2108480000);(-0.0980018400, 1.4554950000, -0.1086306000);1,539768;3,071305;;;0,0992415;1,210848;;;0,006662335;;-0,107794677
0,4327428;-0,113695946;0,005891229;(0.1041324000, 1.2141320000);(-0.0980018400, 1.4554950000, -0.1086306000);1,535605;3,065747;;;0,1041324;1,214132;;;0,005891142;;-0,113685819
0,4441676;-0,119636852;0,005940906;(0.1090944000, 1.2173990000);(-0.0980411200, 1.4554420000, -0.1085802000);1,53138;3,060125;;;0,1090944;1,217399;;;0,005940937;;-0,119626756
0,4551793;-0,125583748;0,005946896;(0.1140119000, 1.2207430000);(-0.0980411200, 1.4554420000, -0.1085802000);1,527226;3,054529;;;0,1140119;1,220743;;;0,005946776;;-0,125573532
0,4663244;-0,131187095;0,005603347;(0.1186864000, 1.2238330000);(-0.0978994400, 1.4554940000, -0.1085820000);1,52327;3,049232;;;0,1186864;1,223833;;;0,005603486;;-0,131177017
