time;distance
2,976282;0,194874
2,987408;0,1949416
2,998375;0,1946915
3,00937;0,1948034
3,020628;0,1945954
3,031653;0,1945364
3,042688;0,1946086
3,053933;0,1947759
3,065003;0,1949822
3,076222;0,195111
3,08743;0,1951959
3,098648;0,195054
3,109766;0,1952513
3,120827;0,195394
3,131994;0,1952893
3,143159;0,1954932
3,154229;0,1957233
3,165532;0,1960363
3,176457;0,1962266
3,187654;0,1964737
3,198505;0,1967046
3,209783;0,1968402
3,220501;0,19659
3,23189;0,1964143
3,24293;0,1965365
3,254351;0,1967737
3,265182;0,1971569
3,276269;0,1972123
